"* Required Fields","* Обязательные поля"
"Comment","Комментарий"
"Contact Form","Контактная форма"
"Contact Information","Контактная информация"
"Contact Us","Обратная связь"
"Contact Us Form","Форма обратной связи"
"Contacts","Контакты"
"Contacts Section","Раздел контакты"
"Email","Электронная почта (email)"
"Email Options","Уведомления на электронную почту"
"Email Sender","Отправитель письма"
"Email Template","Шаблон письма"
"Enable Contact Us","Включить форму обратной связи"
"Name","Имя"
"Send Emails To","Послать письма (emails) получателям"
"Submit","Отправить"
"Telephone","Телефон"
"Unable to submit your request. Please, try again later","Невозможно отправить ваш запрос. Пожалуйста, повторите попытку позже"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Ваше сообщение получено и мы ответим на него в ближайшее время. Спасибо за сообщение."
"Order Backcall","Заказать звонок"
"Backcalls","Обратный Звонок"
"Backcall","Обратный Звонок"
"Your Name","Ваше имя"
"Your Telephone","Ваш телефон"
"Time for backcall","Удобное время для связи"
"Enable Time Field","Включить поле ""Удобное время для связи"""
"Enable Address Field","Включить поле ""Адрес доставки"""
"Enable Comment Field","Включить поле ""Комментарий"""
"Enable Backcall","Включить Обратный Звонок"
"Address","Адрес доставки"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for backcalling us.","Спасибо, ваша заявка получена. В ближайшее время менеджер свяжется с вами."
"SMS Notification","SMS уведомления"
"Enable SMS Notification","Включить SMS уведомления"
"API Key","API ключ"
"Notification phone numbers","Номер телефона для уведомлений"
"Backcall Form Title","Заголовок формы"
"Form Settings","Настройки формы"
"Send Time for backcall","Отправлять ""Удобное время для связи"""
"Send Address","Отправлять ""Адрес доставки"""
"Send Comment","Отправлять ""Комментарий"""
"May affect SMS text size","Может повлиять на длину (стоимость) SMS"
"Format: 79211231212,79214561313","Формат: 79211231212"
"Backcall Button Text","Текст для кнопки"
"Enable jQuery Loading","Включить загрузку jQuery"
"Enable Fancybox Loading","Включить загрузку Fancybox"
"jQuery Settings","Настройки jQuery"
"Enable Name Field","Включить поле ""Ваше имя"""
"Auto Insert Selector","Вставить в произвольный блок"
"Set CSS id or class for the element which button should append to.","Укажите CSS class или id блока, в который должна встроится кнопка. Пример: .footer"
"Auto Insert Button in Header","Вставить в шапку"
"Auto Insert Button in Left Sidebar","Вставить в левую колонку"
"Auto Insert Button in Right Sidebar","Вставить в правую колонку"
"SMS Pilot Gateway Settings","Настройка SMS шлюза SMSPilot"
"Button Settings","Настройки кнопки"
"Add custom CSS for button","Произвольный CSS для кнопки"
"Popup Width","Ширина всплыв. окна"
"Popup Height","Высота всплыв. окна"
"Example: #call_btn { margin: 20px; }","Пример: #call_btn { margin: 20px; }"
"Information and updates","Информация и обновления"
"Popup Settings","Настройки всплывающего окна"
"Display settings","Настройки отображения"
"Phone Big","Номер телефона"
"Phone Small","Подпись под номером"
"Oneclickorder","Заказ в 1 Клик"
"Auto Insert Button after Add to Cart button","Вставить после кнопки ""В Корзину"""
"Link","Ссылка"
"Button","Кнопка"
"Button Type","Отображение кнопки"
"Success Message","Сообщение при успешной отправке"
"Fail Message","Сообщение при ошибке"
"SMS header","СМС заголовок"
"It will help you to determine SMS.","Это поможет вам различать СМС."
"If not set - Auto (recommended)","Если пусто, то авторазмер (рекомендуется)"
"Enable Oneclickorder","Включить Заказ в 1 Клик"
"You are using One Click Order extension.","Информация о модуле <a href=""http://magebox.ru/one-click-order/"" target=""_blank"">Заказ в 1 Клик</a>."
"Antispam word","АнтиСпам проверка"
"If you started receiving spam change this value to another word.","Данное поле защищает от автоматических СПАМ роботов.<br />Если вы начали получать СПАМ, вставьте новое слово (любое значение без пробелов) в данное поле. Внимание: это слово используется внутри системы и НЕ показывается пользователям."
